States,2014,2015,2016,2017,2018
Alabama,4842481,4853160,4864745,4875120,4887871
Alaska,736307,737547,741504,739786,737438
Arizona,6733840,6833596,6945452,7048876,7171646
Arkansas,2967726,2978407,2990410,3002997,3013825
California,38625139,38953142,39209127,39399349,39557045
Colorado,5351218,5452107,5540921,5615902,5695564
Connecticut,3594783,3587509,3578674,3573880,3572665
Delaware,932596,941413,949216,957078,967171
District of Columbia,662513,675254,686575,695691,702455
Florida,19860330,20224249,20629982,20976812,21299325
Georgia,10069001,10181111,10304763,10413055,10519475
Hawaii,1414862,1422484,1428105,1424203,1420491
Idaho,1631479,1651523,1682930,1718904,1754208
Illinois,12888962,12864342,12826895,12786196,12741080
Indiana,6593533,6608296,6633344,6660082,6691878
Iowa,3109504,3121460,3131785,3143637,3156145
Kansas,2900896,2909502,2911263,2910689,2911505
Kentucky,4414483,4425999,4438229,4453874,4468402
Louisiana,4644204,4664851,4678215,4670818,4659978
Maine,1330760,1328484,1331370,1335063,1338404
Maryland,5958165,5986717,6004692,6024891,6042718
Massachusetts,6763652,6795891,6826022,6863246,6902149
Michigan,9930589,9932573,9951890,9976447,9995915
Minnesota,5451522,5482503,5523409,5568155,5611179
Mississippi,2990623,2988693,2988298,2989663,2986530
Missouri,6056293,6071745,6087203,6108612,6126452
Montana,1021891,1030503,1040863,1053090,1062305
Nebraska,1879522,1891507,1905924,1917575,1929268
Nevada,2819012,2868666,2919772,2972405,3034392
New Hampshire,1333223,1336294,1342373,1349767,1356458
New Jersey,8866780,8870869,8874516,8888543,8908520
New Mexico,2090342,2090211,2092789,2093395,2095428
New York,19656330,19661411,19641589,19590719,19542209
North Carolina,9933944,10033079,10156679,10270800,10383620
North Dakota,737382,754022,754353,755176,760077
Ohio,11602973,11617850,11635003,11664129,11689442
Oklahoma,3878367,3909831,3926769,3932640,3943079
Oregon,3964106,4016918,4091404,4146592,4190713
Pennsylvania,12789101,12785759,12783538,12790447,12807060
Rhode Island,1056017,1056173,1057063,1056486,1057315
South Carolina,4823793,4892253,4958235,5021219,5084127
South Dakota,849088,853933,862890,873286,882235
Tennessee,6540826,6590808,6645011,6708794,6770010
Texas,26977142,27486814,27937492,28322717,28701845
Utah,2937399,2982497,3042613,3103118,3161105
Vermont,625218,625197,623644,624525,626299
Virginia,8312076,8362907,8410946,8465207,8517685
Washington,7052439,7163543,7294680,7425432,7535591
West Virginia,1849467,1841996,1830929,1817048,1805832
Wisconsin,5751974,5761406,5772958,5792051,5813568
Wyoming,582548,585668,584290,578934,577737
